State,Gender,Education,Customer Lifetime Value,Income,Monthly Premium Auto,Number of Open Complaints,Policy Type,Vehicle Class,Total Claim Amount,Areas,Sales Channel,Vehicle Size
,,,,,,,,,,,Call Center,Medsize
,,,,,,,,,,,Branch,Medsize
,,,,,,,,,,,Branch,Medsize
,,,,,,,,,,,Branch,Small
,,,,,,,,,,,Call Center,Medsize
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Branch,Small
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Web,Medsize
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Branch,Large
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Call Center,Medsize
,,,,,,,,,,,Call Center,Large
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Web,Medsize
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Web,Medsize
,,,,,,,,,,,Call Center,Medsize
,,,,,,,,,,,Branch,Medsize
,,,,,,,,,,,Web,Medsize
,,,,,,,,,,,Branch,Medsize
,,,,,,,,,,,Web,Medsize
,,,,,,,,,,,Call Center,Small
,,,,,,,,,,,Agent,Small
,,,,,,,,,,,Call Center,Medsize
,,,,,,,,,,,Branch,Medsize
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Branch,Medsize
,,,,,,,,,,,Call Center,Medsize
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Agent,Small
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Branch,Large
,,,,,,,,,,,Branch,Medsize
,,,,,,,,,,,Web,Medsize
,,,,,,,,,,,Branch,Medsize
,,,,,,,,,,,Web,Small
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Branch,Large
,,,,,,,,,,,Branch,Small
,,,,,,,,,,,Call Center,Small
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Branch,Large
,,,,,,,,,,,Web,Medsize
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Branch,Medsize
,,,,,,,,,,,Call Center,Medsize
,,,,,,,,,,,Call Center,Large
,,,,,,,,,,,Branch,Medsize
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Web,Medsize
,,,,,,,,,,,Branch,Medsize
,,,,,,,,,,,Call Center,Medsize
,,,,,,,,,,,Web,Medsize
,,,,,,,,,,,Call Center,Large
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Branch,Medsize
,,,,,,,,,,,Branch,Large
,,,,,,,,,,,Web,Large
,,,,,,,,,,,Call Center,Medsize
,,,,,,,,,,,Call Center,Large
,,,,,,,,,,,Web,Small
,,,,,,,,,,,Web,Medsize
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Agent,Large
,,,,,,,,,,,Branch,Medsize
,,,,,,,,,,,Web,Medsize
,,,,,,,,,,,Call Center,Medsize
,,,,,,,,,,,Branch,Medsize
,,,,,,,,,,,Call Center,Medsize
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Call Center,Small
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Web,Medsize
,,,,,,,,,,,Branch,Medsize
,,,,,,,,,,,Branch,Large
,,,,,,,,,,,Branch,Large
,,,,,,,,,,,Call Center,Small
,,,,,,,,,,,Branch,Medsize
,,,,,,,,,,,Branch,Small
,,,,,,,,,,,Branch,Medsize
,,,,,,,,,,,Web,Medsize
,,,,,,,,,,,Web,Medsize
,,,,,,,,,,,Branch,Large
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Branch,Medsize
,,,,,,,,,,,Branch,Medsize
,,,,,,,,,,,Web,Medsize
,,,,,,,,,,,Call Center,Medsize
,,,,,,,,,,,Call Center,Medsize
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Branch,Small
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Branch,Medsize
,,,,,,,,,,,Branch,Small
,,,,,,,,,,,Branch,Small
,,,,,,,,,,,Call Center,Medsize
,,,,,,,,,,,Web,Medsize
,,,,,,,,,,,Agent,Large
,,,,,,,,,,,Agent,Small
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Web,Medsize
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Web,Medsize
,,,,,,,,,,,Branch,Medsize
,,,,,,,,,,,Web,Medsize
,,,,,,,,,,,Call Center,Small
,,,,,,,,,,,Web,Medsize
,,,,,,,,,,,Branch,Medsize
,,,,,,,,,,,Branch,Medsize
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Branch,Medsize
,,,,,,,,,,,Branch,Medsize
,,,,,,,,,,,Web,Large
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Web,Large
,,,,,,,,,,,Call Center,Small
,,,,,,,,,,,Branch,Small
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Branch,Medsize
,,,,,,,,,,,Call Center,Small
,,,,,,,,,,,Branch,Medsize
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Call Center,Medsize
,,,,,,,,,,,Agent,Large
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Branch,Medsize
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Web,Small
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Web,Medsize
,,,,,,,,,,,Agent,Small
,,,,,,,,,,,Call Center,Medsize
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Call Center,Medsize
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Branch,Medsize
,,,,,,,,,,,Agent,Small
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Call Center,Medsize
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Call Center,Medsize
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Agent,Large
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Call Center,Medsize
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Agent,Small
,,,,,,,,,,,Call Center,Small
,,,,,,,,,,,Agent,Small
,,,,,,,,,,,Call Center,Medsize
,,,,,,,,,,,Branch,Small
,,,,,,,,,,,Agent,Large
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Branch,Medsize
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Branch,Large
,,,,,,,,,,,Web,Small
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Branch,Medsize
,,,,,,,,,,,Agent,Small
,,,,,,,,,,,Call Center,Medsize
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Web,Medsize
,,,,,,,,,,,Branch,Medsize
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Call Center,Small
,,,,,,,,,,,Agent,Large
,,,,,,,,,,,Branch,Small
,,,,,,,,,,,Branch,Medsize
,,,,,,,,,,,Branch,Medsize
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Web,Medsize
,,,,,,,,,,,Call Center,Medsize
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Branch,Large
,,,,,,,,,,,Web,Medsize
,,,,,,,,,,,Branch,Large
,,,,,,,,,,,Web,Medsize
,,,,,,,,,,,Call Center,Medsize
,,,,,,,,,,,Web,Medsize
,,,,,,,,,,,Branch,Large
,,,,,,,,,,,Call Center,Small
,,,,,,,,,,,Branch,Small
,,,,,,,,,,,Web,Medsize
,,,,,,,,,,,Branch,Large
,,,,,,,,,,,Branch,Medsize
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Web,Medsize
,,,,,,,,,,,Web,Large
,,,,,,,,,,,Branch,Medsize
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Agent,Small
,,,,,,,,,,,Agent,Large
,,,,,,,,,,,Branch,Large
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Call Center,Medsize
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Web,Medsize
,,,,,,,,,,,Call Center,Medsize
,,,,,,,,,,,Web,Medsize
,,,,,,,,,,,Call Center,Medsize
,,,,,,,,,,,Web,Medsize
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Call Center,Medsize
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Call Center,Medsize
,,,,,,,,,,,Branch,Medsize
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Branch,Medsize
,,,,,,,,,,,Branch,Medsize
,,,,,,,,,,,Web,Medsize
,,,,,,,,,,,Web,Large
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Branch,Medsize
,,,,,,,,,,,Web,Medsize
,,,,,,,,,,,Call Center,Small
,,,,,,,,,,,Call Center,Medsize
,,,,,,,,,,,Call Center,Medsize
,,,,,,,,,,,Branch,Medsize
,,,,,,,,,,,Branch,Large
,,,,,,,,,,,Branch,Small
,,,,,,,,,,,Branch,Medsize
,,,,,,,,,,,Branch,Medsize
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Branch,Medsize
,,,,,,,,,,,Web,Small
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Call Center,Medsize
,,,,,,,,,,,Branch,Medsize
,,,,,,,,,,,Web,Medsize
,,,,,,,,,,,Call Center,Medsize
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Web,Medsize
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Agent,Small
,,,,,,,,,,,Branch,Large
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Branch,Medsize
,,,,,,,,,,,Web,Small
,,,,,,,,,,,Web,Medsize
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Branch,Medsize
,,,,,,,,,,,Branch,Large
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Call Center,Medsize
,,,,,,,,,,,Agent,Large
,,,,,,,,,,,Branch,Medsize
,,,,,,,,,,,Call Center,Medsize
,,,,,,,,,,,Web,Medsize
,,,,,,,,,,,Agent,Large
,,,,,,,,,,,Agent,Small
,,,,,,,,,,,Call Center,Medsize
,,,,,,,,,,,Web,Medsize
,,,,,,,,,,,Branch,Medsize
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Call Center,Large
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Web,Medsize
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Branch,Small
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Web,Medsize
,,,,,,,,,,,Web,Medsize
,,,,,,,,,,,Call Center,Small
,,,,,,,,,,,Web,Medsize
,,,,,,,,,,,Call Center,Medsize
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Call Center,Medsize
,,,,,,,,,,,Web,Large
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Agent,Large
,,,,,,,,,,,Branch,Medsize
,,,,,,,,,,,Call Center,Medsize
,,,,,,,,,,,Call Center,Large
,,,,,,,,,,,Branch,Large
,,,,,,,,,,,Agent,Large
,,,,,,,,,,,Web,Medsize
,,,,,,,,,,,Call Center,Medsize
,,,,,,,,,,,Branch,Medsize
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Agent,Small
,,,,,,,,,,,Call Center,Medsize
,,,,,,,,,,,Call Center,Medsize
,,,,,,,,,,,Call Center,Medsize
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Branch,Small
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Call Center,Medsize
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Web,Large
,,,,,,,,,,,Branch,Medsize
,,,,,,,,,,,Web,Medsize
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Call Center,Small
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Agent,Large
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Agent,Small
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Web,Medsize
,,,,,,,,,,,Web,Medsize
,,,,,,,,,,,Branch,Large
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Web,Small
,,,,,,,,,,,Branch,Medsize
,,,,,,,,,,,Call Center,Medsize
,,,,,,,,,,,Call Center,Medsize
,,,,,,,,,,,Call Center,Medsize
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Call Center,Medsize
,,,,,,,,,,,Branch,Medsize
,,,,,,,,,,,Branch,Medsize
,,,,,,,,,,,Branch,Medsize
,,,,,,,,,,,Web,Medsize
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Web,Medsize
,,,,,,,,,,,Branch,Small
,,,,,,,,,,,Branch,Medsize
,,,,,,,,,,,Agent,Small
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Agent,Large
,,,,,,,,,,,Call Center,Medsize
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Web,Small
,,,,,,,,,,,Web,Small
,,,,,,,,,,,Call Center,Medsize
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Call Center,Medsize
,,,,,,,,,,,Branch,Medsize
,,,,,,,,,,,Agent,Small
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Call Center,Small
,,,,,,,,,,,Web,Small
,,,,,,,,,,,Web,Small
,,,,,,,,,,,Branch,Large
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Branch,Medsize
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Call Center,Medsize
,,,,,,,,,,,Branch,Medsize
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Call Center,Medsize
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Web,Medsize
,,,,,,,,,,,Branch,Medsize
,,,,,,,,,,,Web,Medsize
,,,,,,,,,,,Call Center,Medsize
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Agent,Small
,,,,,,,,,,,Agent,Large
,,,,,,,,,,,Branch,Medsize
,,,,,,,,,,,Web,Medsize
,,,,,,,,,,,Agent,Small
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Call Center,Small
,,,,,,,,,,,Branch,Small
,,,,,,,,,,,Call Center,Large
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Branch,Medsize
,,,,,,,,,,,Branch,Small
,,,,,,,,,,,Branch,Medsize
,,,,,,,,,,,Branch,Medsize
,,,,,,,,,,,Branch,Small
,,,,,,,,,,,Branch,Small
,,,,,,,,,,,Agent,Large
,,,,,,,,,,,Web,Medsize
,,,,,,,,,,,Branch,Small
,,,,,,,,,,,Branch,Medsize
,,,,,,,,,,,Branch,Medsize
,,,,,,,,,,,Web,Medsize
,,,,,,,,,,,Agent,Small
,,,,,,,,,,,Branch,Large
,,,,,,,,,,,Branch,Large
,,,,,,,,,,,Call Center,Medsize
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Call Center,Medsize
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Call Center,Medsize
,,,,,,,,,,,Call Center,Medsize
,,,,,,,,,,,Agent,Small
,,,,,,,,,,,Web,Medsize
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Call Center,Large
,,,,,,,,,,,Branch,Large
,,,,,,,,,,,Branch,Medsize
,,,,,,,,,,,Call Center,Medsize
,,,,,,,,,,,Branch,Medsize
,,,,,,,,,,,Web,Large
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Call Center,Large
,,,,,,,,,,,Call Center,Medsize
,,,,,,,,,,,Call Center,Medsize
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Agent,Small
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Branch,Medsize
,,,,,,,,,,,Web,Small
,,,,,,,,,,,Call Center,Large
,,,,,,,,,,,Call Center,Medsize
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Branch,Medsize
,,,,,,,,,,,Agent,Small
,,,,,,,,,,,Branch,Medsize
,,,,,,,,,,,Call Center,Medsize
,,,,,,,,,,,Web,Medsize
,,,,,,,,,,,Web,Large
,,,,,,,,,,,Web,Medsize
,,,,,,,,,,,Branch,Medsize
,,,,,,,,,,,Call Center,Small
,,,,,,,,,,,Branch,Large
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Call Center,Medsize
,,,,,,,,,,,Call Center,Medsize
,,,,,,,,,,,Agent,Small
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Call Center,Medsize
,,,,,,,,,,,Branch,Medsize
,,,,,,,,,,,Agent,Small
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Branch,Medsize
,,,,,,,,,,,Web,Medsize
,,,,,,,,,,,Agent,Small
,,,,,,,,,,,Branch,Medsize
,,,,,,,,,,,Call Center,Medsize
,,,,,,,,,,,Branch,Medsize
,,,,,,,,,,,Branch,Medsize
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Call Center,Medsize
,,,,,,,,,,,Call Center,Medsize
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Web,Medsize
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Agent,Small
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Call Center,Medsize
,,,,,,,,,,,Web,Small
,,,,,,,,,,,Agent,Small
,,,,,,,,,,,Agent,Large
,,,,,,,,,,,Branch,Small
,,,,,,,,,,,Call Center,Medsize
,,,,,,,,,,,Call Center,Medsize
,,,,,,,,,,,Branch,Medsize
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Branch,Medsize
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Call Center,Medsize
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Web,Medsize
,,,,,,,,,,,Call Center,Small
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Call Center,Medsize
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Web,Medsize
,,,,,,,,,,,Branch,Small
,,,,,,,,,,,Web,Medsize
,,,,,,,,,,,Agent,Small
,,,,,,,,,,,Branch,Small
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Call Center,Medsize
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Web,Medsize
,,,,,,,,,,,Call Center,Medsize
,,,,,,,,,,,Web,Medsize
,,,,,,,,,,,Web,Medsize
,,,,,,,,,,,Agent,Small
,,,,,,,,,,,Agent,Large
,,,,,,,,,,,Call Center,Medsize
,,,,,,,,,,,Branch,Small
,,,,,,,,,,,Call Center,Medsize
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Agent,Large
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Branch,Medsize
,,,,,,,,,,,Branch,Medsize
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Branch,Medsize
,,,,,,,,,,,Call Center,Medsize
,,,,,,,,,,,Agent,Small
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Agent,Small
,,,,,,,,,,,Branch,Medsize
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Call Center,Medsize
,,,,,,,,,,,Call Center,Medsize
,,,,,,,,,,,Agent,Small
,,,,,,,,,,,Agent,Large
,,,,,,,,,,,Web,Medsize
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Agent,Small
,,,,,,,,,,,Agent,Small
,,,,,,,,,,,Branch,Medsize
,,,,,,,,,,,Web,Medsize
,,,,,,,,,,,Call Center,Small
,,,,,,,,,,,Branch,Medsize
,,,,,,,,,,,Branch,Small
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Branch,Medsize
,,,,,,,,,,,Call Center,Large
,,,,,,,,,,,Agent,Small
,,,,,,,,,,,Branch,Small
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Web,Large
,,,,,,,,,,,Call Center,Medsize
,,,,,,,,,,,Branch,Medsize
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Branch,Medsize
,,,,,,,,,,,Branch,Medsize
,,,,,,,,,,,Branch,Small
,,,,,,,,,,,Web,Small
,,,,,,,,,,,Branch,Small
,,,,,,,,,,,Agent,Large
,,,,,,,,,,,Branch,Medsize
,,,,,,,,,,,Branch,Medsize
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Call Center,Medsize
,,,,,,,,,,,Agent,Small
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Branch,Medsize
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Call Center,Medsize
,,,,,,,,,,,Call Center,Medsize
,,,,,,,,,,,Web,Medsize
,,,,,,,,,,,Agent,Large
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Branch,Medsize
,,,,,,,,,,,Agent,Small
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Branch,Medsize
,,,,,,,,,,,Branch,Large
,,,,,,,,,,,Call Center,Medsize
,,,,,,,,,,,Agent,Large
,,,,,,,,,,,Call Center,Medsize
,,,,,,,,,,,Branch,Medsize
,,,,,,,,,,,Agent,Small
,,,,,,,,,,,Call Center,Large
,,,,,,,,,,,Call Center,Medsize
,,,,,,,,,,,Branch,Medsize
,,,,,,,,,,,Web,Medsize
,,,,,,,,,,,Web,Medsize
,,,,,,,,,,,Call Center,Medsize
,,,,,,,,,,,Branch,Medsize
,,,,,,,,,,,Branch,Medsize
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Web,Small
,,,,,,,,,,,Web,Medsize
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Branch,Medsize
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Branch,Medsize
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Branch,Medsize
,,,,,,,,,,,Agent,Small
,,,,,,,,,,,Agent,Large
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Agent,Small
,,,,,,,,,,,Branch,Small
,,,,,,,,,,,Agent,Large
,,,,,,,,,,,Branch,Small
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Branch,Medsize
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Call Center,Small
,,,,,,,,,,,Agent,Small
,,,,,,,,,,,Branch,Medsize
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Branch,Medsize
,,,,,,,,,,,Agent,Small
,,,,,,,,,,,Agent,Small
,,,,,,,,,,,Call Center,Medsize
,,,,,,,,,,,Agent,Large
,,,,,,,,,,,Call Center,Medsize
,,,,,,,,,,,Branch,Medsize
,,,,,,,,,,,Agent,Small
,,,,,,,,,,,Branch,Large
,,,,,,,,,,,Agent,Large
,,,,,,,,,,,Call Center,Medsize
,,,,,,,,,,,Branch,Medsize
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Branch,Small
,,,,,,,,,,,Web,Medsize
,,,,,,,,,,,Branch,Medsize
,,,,,,,,,,,Call Center,Medsize
,,,,,,,,,,,Call Center,Small
,,,,,,,,,,,Call Center,Medsize
,,,,,,,,,,,Agent,Small
,,,,,,,,,,,Branch,Medsize
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Branch,Small
,,,,,,,,,,,Branch,Medsize
,,,,,,,,,,,Call Center,Medsize
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Web,Medsize
,,,,,,,,,,,Call Center,Medsize
,,,,,,,,,,,Web,Medsize
,,,,,,,,,,,Web,Medsize
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Branch,Medsize
,,,,,,,,,,,Web,Medsize
,,,,,,,,,,,Call Center,Medsize
,,,,,,,,,,,Call Center,Small
,,,,,,,,,,,Branch,Medsize
,,,,,,,,,,,Call Center,Medsize
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Agent,Large
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Branch,Small
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Branch,Small
,,,,,,,,,,,Branch,Large
,,,,,,,,,,,Branch,Medsize
,,,,,,,,,,,Call Center,Medsize
,,,,,,,,,,,Agent,Small
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Call Center,Medsize
,,,,,,,,,,,Agent,Small
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Call Center,Small
,,,,,,,,,,,Branch,Small
,,,,,,,,,,,Branch,Medsize
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Branch,Medsize
,,,,,,,,,,,Branch,Medsize
,,,,,,,,,,,Agent,Large
,,,,,,,,,,,Call Center,Medsize
,,,,,,,,,,,Call Center,Medsize
,,,,,,,,,,,Branch,Large
,,,,,,,,,,,Web,Medsize
,,,,,,,,,,,Web,Medsize
,,,,,,,,,,,Web,Small
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Call Center,Medsize
,,,,,,,,,,,Web,Medsize
,,,,,,,,,,,Web,Small
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Branch,Large
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Branch,Small
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Branch,Medsize
,,,,,,,,,,,Agent,Small
,,,,,,,,,,,Call Center,Medsize
,,,,,,,,,,,Branch,Medsize
,,,,,,,,,,,Branch,Large
,,,,,,,,,,,Call Center,Medsize
,,,,,,,,,,,Call Center,Small
,,,,,,,,,,,Branch,Small
,,,,,,,,,,,Agent,Large
,,,,,,,,,,,Web,Medsize
,,,,,,,,,,,Call Center,Medsize
,,,,,,,,,,,Branch,Medsize
,,,,,,,,,,,Web,Medsize
,,,,,,,,,,,Agent,Large
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Agent,Large
,,,,,,,,,,,Call Center,Small
,,,,,,,,,,,Web,Large
,,,,,,,,,,,Branch,Medsize
,,,,,,,,,,,Call Center,Medsize
,,,,,,,,,,,Branch,Medsize
,,,,,,,,,,,Branch,Medsize
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Branch,Medsize
,,,,,,,,,,,Call Center,Medsize
,,,,,,,,,,,Web,Small
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Call Center,Small
,,,,,,,,,,,Branch,Small
,,,,,,,,,,,Agent,Small
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Agent,Medsize
,,,,,,,,,,,Branch,Medsize
